"GENNME","Active_Ingredients"
"Acebutolol Hydrochloride","Acebutolol"
"Acetaminophen/Codeine Phosphate","Acetaminophen;Codeine"
"Acetazolamide","Acetazolamide"
"Acetic Acid","Acetic Acid"
"Acetic Acid/Hydrocortisone","Acetic Acid;Hydrocortisone"
"Acetylcysteine","Acetylcysteine"
"K Phos, Monobasic/Na Phos, Monobasic","Potassium Phosphate;Phosphate"
"Acyclovir","Acyclovir"
"Albuterol Sulfate","Albuterol"
"Alclometasone Dipropionate","Alclometasone"
"Allopurinol","Allopurinol"
"Alprazolam","Alprazolam"
"Aluminum Chloride","Aluminum"
"Amantadine Hydrochloride","Amantadine"
"Amcinonide","Amcinonide"
"Amikacin Sulfate","Amikacin"
"Amiloride Hydrochloride","Amiloride"
"Amiloride Hydrochloride/Hydrochlorothiazide","Amiloride;Hydrochlorothiazide"
"Amino Acids","Amino Acids"
"Aminocaproic Acid","Aminocaproic Acid"
"Amiodarone Hydrochloride","Amiodarone"
"Amitriptyline Hydrochloride","Amitriptyline"
"Amitriptyline Hydrochloride/Perphenazine","Amitriptyline;Perphenazine"
"Amlodipine Besylate","Amlodipine"
"Ammonium Lactate","Lactate"
"Amoxicillin","Amoxicillin"
"Amoxicillin/Clavulanate Potassium","Amoxicillin;Clavulanic Acid"
"Amphotericin B","Amphotericin B"
"Ampicillin","Ampicillin"
"Ampicillin Sodium","Ampicillin"
"Anthralin","Anthralin"
"Antipyrine/Benzocaine","Antipyrine;Benzocaine"
"Apraclonidine Hydrochloride","Apraclonidine"
"Atenolol","Atenolol"
"Atenolol/Chlorthalidone","Atenolol;Chlorthalidone"
"Atropine Sulfate","Atropine"
"Auranofin","Auranofin"
"Azathioprine","Azathioprine"
"Bacitracin","Bacitracin"
"Baclofen","Baclofen"
"Benazepril Hydrochloride","Benazepril"
"Benzocaine","Benzocaine"
"Benzocaine/Butamben/Tetracaine","Benzocaine;Butamben;Tetracaine"
"Benzonatate","Benzonatate"
"Benzoyl Peroxide","Benzoyl Peroxide"
"Benzphetamine Hydrochloride","Benzphetamine"
"Benztropine Mesylate","Benztropine"
"Betamethasone Ace/Betamethasone Na Phos","Betamethasone"
"Betamethasone Dipropionate/Clotrimazole","Betamethasone;Clotrimazole"
"Betamethasone Dipropionate","Betamethasone"
"Betamethasone Valerate","Betamethasone"
"Betamethasone Dipropionate, Augmented","Betamethasone"
"Betaxolol Hydrochloride","Betaxolol"
"Bethanechol Chloride","Bethanechol"
"Bismuth Subcarbonate","Bismuth"
"Boric Acid","Boric Acid"
"OnabotulinumtoxinA","Onabotulinumtoxina"
"Bromocriptine Mesylate","Bromocriptine"
"Brompheniramine Mal/DM Hydrobrom/PSE HCl","Brompheniramine;Dextromethorphan;Pseudoephedrine"
"Bumetanide","Bumetanide"
"Bupivacaine Hydrochloride","Bupivacaine"
"Bupropion Hydrochloride","Bupropion"
"Buspirone Hydrochloride","Buspirone"
"Acetaminophen/Butalbital","Acetaminophen;Butalbital"
"Acetaminophen/Butalbital/Caffeine","Acetaminophen;Butalbital;Caffeine"
"Aspirin/Butalbital/Caffeine","Acetylsalicylic Acid;Butalbital;Caffeine"
"Butoconazole Nitrate","Butoconazole"
"Butorphanol Tartrate","Butorphanol"
"Calcitonin (Salmon)","Calcitonin"
"Calcitriol","Calcitriol"
"Calcium Acetate","Calcium"
"Captopril","Captopril"
"Captopril/Hydrochlorothiazide","Captopril;Hydrochlorothiazide"
"Carbamazepine","Carbamazepine"
"Carbidopa/Levodopa","Carbidopa;Levodopa"
"Carisoprodol","Carisoprodol"
"Levocarnitine","Levocarnitine"
"Cefaclor","Cefaclor"
"Cefadroxil","Cefadroxil"
"Cefazolin Sodium","Cefazolin"
"Cefixime","Cefixime"
"Cefprozil","Cefprozil"
"Ceftazidime","Ceftazidime"
"Cefpodoxime Proxetil","Cefpodoxime"
"Ceftriaxone Sodium","Ceftriaxone"
"Cefuroxime Axetil","Cefuroxime"
"Cephalexin","Cephalexin"
"Clorazepate Dipotassium","Clorazepate"
"Amitriptyline Hydrochloride/Chlordiazepoxide","Amitriptyline;Chlordiazepoxide"
"Chlordiazepoxide Hydrochloride","Chlordiazepoxide"
"Chlordiazepoxide Hydrochloride/Clidinium Bromide","Chlordiazepoxide;Clidinium"
"Chloroquine Phosphate","Chloroquine"
"Chlorothiazide","Chlorothiazide"
"Chloroxylenol/HC/Pramoxine HCl","Chloroxylenol;Hydrocortisone;Pramoxine"
"Chlorpheniramine Maleate","Chlorpheniramine"
