"GENNME","Active_Ingredients"
"Acebutolol Hydrochloride","Acebutolol"
"Acetaminophen/Codeine Phosphate","Acetaminophen;Codeine"
"Acetazolamide","Acetazolamide"
"Acetic Acid","Acetic Acid"
"Acetic Acid/Hydrocortisone","Acetic Acid;Hydrocortisone"
"Acetylcysteine","Acetylcysteine"
"K Phos, Monobasic/Na Phos, Monobasic","Potassium Phosphate;Phosphate"
"Acyclovir","Acyclovir"
"Adenosine","Adenosine"
"Albumin Human","Albumin Human"
"Albuterol Sulfate","Albuterol"
"Alclometasone Dipropionate","Alclometasone"
"Allopurinol","Allopurinol"
"Alprazolam","Alprazolam"
"Alteplase, Recombinant","Alteplase"
"Aluminum Chloride","Aluminum"
"Amantadine Hydrochloride","Amantadine"
"Amcinonide","Amcinonide"
"Amikacin Sulfate","Amikacin"
"Amiloride Hydrochloride","Amiloride"
"Amiloride Hydrochloride/Hydrochlorothiazide","Amiloride;Hydrochlorothiazide"
"Amino Acids","Amino Acids"
"Amino Acids/Dextrose","Amino Acids;Dextrose"
"Aminocaproic Acid","Aminocaproic Acid"
"Aminophylline","Theophylline"
"Amiodarone Hydrochloride","Amiodarone"
"Amitriptyline Hydrochloride","Amitriptyline"
"Amitriptyline Hydrochloride/Perphenazine","Amitriptyline;Perphenazine"
"Amlodipine Besylate","Amlodipine"
"Ammonium Lactate","Lactic Acid"
"Amoxapine","Amoxapine"
"Amoxicillin","Amoxicillin"
"Amoxicillin/Clavulanate Potassium","Amoxicillin;Clavulanate"
"Ampicillin","Ampicillin"
"Ampicillin Sodium","Ampicillin"
"Antipyrine/Benzocaine","Antipyrine;Benzocaine"
"Apraclonidine Hydrochloride","Apraclonidine"
"Atenolol","Atenolol"
"Atenolol/Chlorthalidone","Atenolol;Chlorthalidone"
"Atropine Sulfate","Atropine"
"Azathioprine","Azathioprine"
"Aztreonam","Aztreonam"
"Multimineral/Vitamin B Complex","Multimineral;Vitamin B Complex"
"Bacitracin","Bacitracin"
"Baclofen","Baclofen"
"Benazepril Hydrochloride","Benazepril"
"Benzoin","Benzoin"
"Benzonatate","Benzonatate"
"Benzoyl Peroxide","Benzoyl Peroxide"
"Benztropine Mesylate","Benztropine"
"Betamethasone Ace/Betamethasone Na Phos","Betamethasone"
"Betamethasone Dipropionate/Clotrimazole","Betamethasone;Clotrimazole"
"Betamethasone Dipropionate","Betamethasone"
"Betamethasone Valerate","Betamethasone"
"Betamethasone Dipropionate, Augmented","Betamethasone"
"Betaxolol Hydrochloride","Betaxolol"
"Bethanechol Chloride","Bethanechol"
"Boric Acid","Boric Acid"
"OnabotulinumtoxinA","Onabotulinumtoxina"
"Bromocriptine Mesylate","Bromocriptine"
"Brompheniramine Mal/DM Hydrobrom/PSE HCl","Brompheniramine;Dextromethorphan;Pseudoephedrine"
"Bumetanide","Bumetanide"
"Bupivacaine Hydrochloride","Bupivacaine"
"Bupivacaine Hydrochloride/Epinephrine","Bupivacaine;Epinephrine"
"Bupropion Hydrochloride","Bupropion"
"Buspirone Hydrochloride","Buspirone"
"Acetaminophen/Butalbital","Acetaminophen;Butalbital"
"Acetaminophen/Butalbital/Caffeine","Acetaminophen;Butalbital;Caffeine"
"Aspirin/Butalbital/Caffeine","Acetylsalicylic Acid;Butalbital;Caffeine"
"Butoconazole Nitrate","Butoconazole"
"Butorphanol Tartrate","Butorphanol"
"Butylated Hydroxytoluene","Butylated Hydroxytoluene"
"Calcitonin (Salmon)","Calcitonin Salmon"
"Calcitriol","Calcitriol"
"Calcium Acetate","Calcium"
"Calcium Gluconate","Calcium"
"Captopril","Captopril"
"Captopril/Hydrochlorothiazide","Captopril;Hydrochlorothiazide"
"Carbamazepine","Carbamazepine"
"Carboprost Tromethamine","Carboprost"
"Carbidopa/Levodopa","Carbidopa;Levodopa"
"Carisoprodol","Carisoprodol"
"Levocarnitine","Levocarnitine"
"Carteolol Hydrochloride","Carteolol"
"Cefaclor","Cefaclor"
"Cefadroxil","Cefadroxil"
"Cefazolin Sodium","Cefazolin"
"Cefixime","Cefixime"
"Cefprozil","Cefprozil"
"Cefoxitin Sodium","Cefoxitin"
"Ceftazidime","Ceftazidime"
"Cefpodoxime Proxetil","Cefpodoxime"
"Ceftriaxone Sodium","Ceftriaxone"
"Cefuroxime Axetil","Cefuroxime"
"Cefuroxime Sodium","Cefuroxime"
"Cephalexin","Cephalexin"
"Clorazepate Dipotassium","Clorazepate"
